연번,비상소화장치일련번호,비상소화장치고유번호,geometry
275,110081361,000030,POINT (126.89936724633831 37.49152315884598)
276,110081362,000031,POINT (126.89529337495672 37.494700777537474)
277,110081364,000033,POINT (126.90398653126707 37.49098705232353)
278,110081368,000018,POINT (126.90659567985549 37.52130266966988)
279,110081370,000023,POINT (126.92143122725794 37.51075521075465)
280,110081371,000005,POINT (126.90393935993232 37.5056495196264)
281,110081375,000047,POINT (126.89108982684793 37.51411457349562)
282,110081377,000038,POINT (126.90539630291677 37.520688027732746)
283,110081379,000040,POINT (126.90804161961414 37.51945269640433)
284,110081380,000041,POINT (126.90815281565398 37.52066092888351)
285,110081970,000017,POINT (126.84458944411716 37.49949633548319)
286,110081967,000015,POINT (126.84988742110426 37.50552731026488)
287,110081971,000018,POINT (126.89392806527593 37.46496180498802)
288,110081972,000022,POINT (126.88122251167913 37.48698694610882)
289,110081974,000020,POINT (126.91333176027507 37.45312954178974)
290,110081976,000023,POINT (126.86563746505561 37.50329099379618)
291,110081979,000024,POINT (126.90503449722186 37.47479927036526)
292,110081980,000027,POINT (126.88521751839859 37.4888393575347)
